date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:58:04	1733/1733	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2257ebfeed-144b%22	http://mikekus.com/robots.txt		(from )
10:58:05	10617/10617	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/	C:/My%20Web%20Sites/Portfolio/mikekus.com/index.html	(from )
10:58:05	175/175	---M--	200	added ('OK')	image/x-icon	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/favicon.ico	C:/My%20Web%20Sites/Portfolio/mikekus.com/favicon.ico	(from http://mikekus.com/)
10:58:07	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%220a9c3256cb3534365821cd5f2d8e35e5:1447764573%22	http://cloud.typography.com/7329872/724742/css/fonts.css	C:/My%20Web%20Sites/Portfolio/cloud.typography.com/7329872/724742/css/fonts.1.delayed	(from http://mikekus.com/)
10:58:09	68501/68501	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/css/app.min.css	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/css/app.min.css	(from http://mikekus.com/)
10:58:09	3641/3641	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/css/png.min.css	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/css/png.min.css	(from http://mikekus.com/)
10:58:11	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Dec%202016%2005:28:10%20GMT	http://mikekus.com/about	C:/My%20Web%20Sites/Portfolio/mikekus.com/about.7.delayed	(from http://mikekus.com/)
10:58:12	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Dec%202016%2005:28:11%20GMT	http://mikekus.com/portfolio/beliyf	C:/My%20Web%20Sites/Portfolio/mikekus.com/portfolio/beliyf.8.delayed	(from http://mikekus.com/)
10:58:13	8497/8497	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/about/	C:/My%20Web%20Sites/Portfolio/mikekus.com/about/index.html	(from http://mikekus.com/)
10:58:14	6320/6320	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/portfolio/beliyf/	C:/My%20Web%20Sites/Portfolio/mikekus.com/portfolio/beliyf/index.html	(from http://mikekus.com/)
10:58:14	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Dec%202016%2005:28:13%20GMT	http://mikekus.com/portfolio/invision	C:/My%20Web%20Sites/Portfolio/mikekus.com/portfolio/invision.a.delayed	(from http://mikekus.com/)
10:58:16	6586/6586	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/portfolio/invision/	C:/My%20Web%20Sites/Portfolio/mikekus.com/portfolio/invision/index.html	(from http://mikekus.com/)
10:58:18	356315/356315	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/fonts/390899/4047576FB5143B9FD.css	C:/My%20Web%20Sites/Portfolio/mikekus.com/fonts/390899/4047576FB5143B9FD.css	(from http://mikekus.com/)
10:58:19	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Dec%202016%2005:28:17%20GMT	http://mikekus.com/portfolio/future-insights-2015	C:/My%20Web%20Sites/Portfolio/mikekus.com/portfolio/future-insights-2015.c.delayed	(from http://mikekus.com/)
10:58:20	6032/6032	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/portfolio/future-insights-2015/	C:/My%20Web%20Sites/Portfolio/mikekus.com/portfolio/future-insights-2015/index.html	(from http://mikekus.com/)
10:58:20	27805/27805	---MC-	200	added ('OK')	text/javascript	date:Wed,%2028%20Sep%202016%2020:19:01%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Portfolio/www.google-analytics.com/analytics.js	(from http://mikekus.com/)
10:58:21	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Dec%202016%2005:28:20%20GMT	http://mikekus.com/portfolio/stamps	C:/My%20Web%20Sites/Portfolio/mikekus.com/portfolio/stamps.e.delayed	(from http://mikekus.com/)
10:58:22	5958/5958	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/portfolio/stamps/	C:/My%20Web%20Sites/Portfolio/mikekus.com/portfolio/stamps/index.html	(from http://mikekus.com/)
